beaa50c, 25-07-2015, Exit, code: 127
beaa50c, 25-07-2015, --------------------------------------------------------------------------,
23a6022, 26-07-2015, -------------------------------------------------------,
23a6022, 26-07-2015, --------------------------------------------------------------------------,
23a6022, 26-07-2015, mpirun, detected that one or more processes exited with non-zero status, thus causing
23a6022, 26-07-2015, the, job to be terminated. The first process to do so was:
23a6022, 26-07-2015, ,
23a6022, 26-07-2015, Process, name: [[20147,1],0]
23a6022, 26-07-2015, Exit, code: 127
23a6022, 26-07-2015, --------------------------------------------------------------------------,
